business_name,business_address,business_city,business_state,business_postal_code,inspection_date,inspection_score,violation_description,risk_category
Panini,1457 Haight St,San Francisco,CA,94117,7/19/16 0:00,94,Unclean or degraded floors walls or ceilings,Low Risk
Maggie Cafe,848 Grant Ave,San Francisco,CA,94108,4/12/16 0:00,94,Unapproved or unmaintained equipment or utensils,Low Risk
The Sentinel,35 New Montgomery St,San Francisco,CA,94104,8/11/16 0:00,94,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
Blue Bottle Cafe,66 Mint St,San Francisco,CA,94103,7/13/16 0:00,86,Improper food storage,Low Risk
Epic Roasthouse,369 Embarcadero,San Francisco,CA,94105,11/7/16 0:00,,,
Waterbar,399 Embarcadero,San Francisco,CA,94105,9/8/16 0:00,91,Improper food storage,Low Risk
Marina Theatre,2149 Chestnut St,San Francisco,CA,94123,3/30/16 0:00,,,
Jewish Community Center of San Francisco,3200 California,San Francisco,CA,94118,9/7/16 0:00,92,Inadequate and inaccessible handwashing facilities,Moderate Risk
Epic Roasthouse,Pier 26 Embararcadero,San Francisco,CA,95105,8/25/16 0:00,98,Unclean or degraded floors walls or ceilings,Low Risk
"7-Eleven, Store 2366-21389F",2200 BAYSHORE Blvd,San Francisco,CA,94134,7/1/16 0:00,83,Moderate risk food holding temperature,Moderate Risk
Pagan Restaurant,3199 CLEMENT St,San Francisco,CA,94121,10/28/16 0:00,74,Low risk vermin infestation,Low Risk
Cafe Insalata,209 Jackson St,San Francisco,CA,94111,3/7/16 0:00,96,,
Taqueria Angelia's,1301 Cesar Chavez St,San Francisco,CA,,1/20/16 0:00,,,
Chug Pub,1849 Lincoln Way,San Francisco,CA,94122,9/13/16 0:00,88,Inadequate and inaccessible handwashing facilities,Moderate Risk
Peekadoodle Kidsclub,900 North Point St #F100,San Francisco,CA,94109,3/10/16 0:00,91,Unclean or unsanitary food contact surfaces,High Risk
Mid City Market,868 Geary St,San Francisco,CA,94109,9/1/16 0:00,79,Low risk vermin infestation,Low Risk
"Muddy Waters Coffee House, Inc.",1304 Valencia St,San Francisco,CA,94110,10/25/16 0:00,91,Food safety certificate or food handler card not available,Low Risk
Jay's Cheesesteak,3285 21st St,San Francisco,CA,94110,5/4/16 0:00,98,Improper or defective plumbing,Low Risk
Golden Natural Foods,130 Church St,San Francisco,CA,94114,11/4/16 0:00,98,Improper or defective plumbing,Low Risk
Bang San Thai Cuisine,791 O'Farrell St,San Francisco,CA,94109,1/28/16 0:00,80,Improper or defective plumbing,Low Risk
Clementine,126 CLEMENT St,San Francisco,CA,94118,10/6/16 0:00,88,Improper or defective plumbing,Low Risk
El Castillito Taqueria Star,250 Golden Gate Ave,San Francisco,CA,94102,1/25/16 0:00,,,
Peasant Pies,1039 IRVING St,San Francisco,CA,94122,6/20/16 0:00,96,Inadequate and inaccessible handwashing facilities,Moderate Risk
UVA Enoteca,568 Haight St,San Francisco,CA,94117,12/14/16 0:00,86,Inadequate warewashing facilities or equipment,Low Risk
FourBarrel Coffee,375 Valencia St,San Francisco,CA,94103,11/2/16 0:00,92,Foods not protected from contamination,Moderate Risk
A.K. Meat,2346 clement st.,San Francisco,CA,94118,4/18/16 0:00,89,Improper reheating of food,High Risk
Double Decker,465 Grove St,San Francisco,CA,94102,7/28/16 0:00,96,Improper food storage,Low Risk
Daffodil c/o Orchard Hotel,665 Bush St,San Francisco,CA,94108,4/7/16 0:00,98,Unclean or degraded floors walls or ceilings,Low Risk
Kasa Indian Eatery,4001 18th St,San Francisco,CA,94114,11/9/16 0:00,91,Unclean or unsanitary food contact surfaces,High Risk
Royal Market & Bakery,5331 Geary Blvd,San Francisco,CA,94121,4/14/16 0:00,81,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
Halu,312 08th Ave,San Francisco,CA,94118,7/27/16 0:00,83,Moderate risk vermin infestation,Moderate Risk
Pasilla,359 Kearny St,San Francisco,CA,94108,7/6/16 0:00,75,Unclean or unsanitary food contact surfaces,High Risk
Man Sung Company,1116 Grant Ave,San Francisco,CA,94133,9/7/16 0:00,,,
"Pho Vung Tau, Inc",708 Vallejo St,San Francisco,CA,94133,7/12/16 0:00,81,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
Luce Restaurant &  Bar,888 Howard St 1st Floor,San Francisco,CA,94103,5/23/16 0:00,91,High risk food holding temperature,High Risk
InterContinental San Francisco Employee Cafeteria,888 Howard St 2nd Floor,San Francisco,CA,94013,5/23/16 0:00,92,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
InterContinental San Francisco 3rd Fl. Banquet Kitchen,888 Howard St 3rd Floor,San Francisco,CA,94103,5/23/16 0:00,96,Improper food storage,Low Risk
InterContinental San Francisco 4th Fl. Kitchen,888 Howard St 4th Floor,San Francisco,CA,94013,5/23/16 0:00,100,,
InterContinental San Francisco 5th Fl. Kitchen,888 Howard St 5th Floor,San Francisco,CA,94103,5/23/16 0:00,96,Inadequate and inaccessible handwashing facilities,Moderate Risk
InterContinental San Francisco Club Lounge,888 Howard St 6th Floor,San Francisco,CA,94103,5/23/16 0:00,96,Unclean nonfood contact surfaces,Low Risk
Utopia Cafe,139 Waverly Pl,San Francisco,CA,94108,10/24/16 0:00,,,
Cafe Luna,3313 SACRAMENTO St,San Francisco,CA,94118,8/23/16 0:00,96,Moderate risk vermin infestation,Moderate Risk
Mission Noodle House,4845 MISSION St,San Francisco,CA,94112,7/5/16 0:00,88,Low risk vermin infestation,Low Risk
Balompie Cafe No. 3 Inc.,3801 Mission St,San Francisco,CA,94110,6/29/16 0:00,89,Improper cooling methods,High Risk
Velo Rouge Cafe,798 Arguello Blvd,San Francisco,CA,94118,4/12/16 0:00,98,Improper food storage,Low Risk
Civic Restaurant & Bar,272 McAllister St,San Francisco,CA,94102,9/8/16 0:00,,,
Press Club,20 Yerba Buena Ln,San Francisco,CA,94103,7/22/16 0:00,96,Improper storage of equipment utensils or linens,Low Risk
Ghirardelli Chocolate Fountain,801 Beach St,San Francisco,CA,94109,3/28/16 0:00,96,Inadequate and inaccessible handwashing facilities,Moderate Risk
China House Jumbo Seafood Restaurant,2237 Powell Street,San Francisco,CA,94133,12/5/16 0:00,90,Improper storage of equipment utensils or linens,Low Risk
Irelands 32,3920 Geary Blvd,San Francisco,CA,94118,6/8/16 0:00,,,
Udupi Palace,1007 1/2 Valencia St,San Francisco,CA,94110,9/30/16 0:00,,,
Cafe Golo,1602 LOMBARD St,San Francisco,CA,94123,9/6/16 0:00,88,Improper storage of equipment utensils or linens,Low Risk
Jenny's Burger,1233 09th Ave,San Francisco,CA,94122,5/20/16 0:00,96,Moderate risk food holding temperature,Moderate Risk
Bursa,60 West Portal Ave.,San Francisco,CA,94127,6/29/16 0:00,,Moderate risk food holding temperature,Moderate Risk
The Pub At S.F.S.U.,1650 Holloway Ave C-134,San Francisco,CA,94132,5/18/16 0:00,94,Unapproved or unmaintained equipment or utensils,Low Risk
100% Dessert Cafe,2512 Clement St,San Francisco,CA,94121,5/19/16 0:00,72,High risk vermin infestation,High Risk
George's BBQ on 24th,3231 24th St,San Francisco,CA,94110,2/17/16 0:00,,,
Jai Yun Restaurant,680 Clay St,San Francisco,CA,94111,12/28/16 0:00,90,Improper storage use or identification of toxic substances,Low Risk
Jack In The Box #545,400 Geary St,San Francisco,CA,94102,11/14/16 0:00,87,Unapproved or unmaintained equipment or utensils,Low Risk
Third Avenue Food Mart,4101 California St,San Francisco,CA,94118,5/31/16 0:00,86,Unapproved or unmaintained equipment or utensils,Low Risk
Jack In the Box #558,4649 GEARY Blvd,San Francisco,CA,94118,4/26/16 0:00,98,Unclean nonfood contact surfaces,Low Risk
"Albona Ristorante Istriano, LLC",545 Francisco St,San Francisco,CA,94133,8/18/16 0:00,79,Moderate risk food holding temperature,Moderate Risk
Honey Honey Cafe,599 Post St,San Francisco,CA,94109,7/20/16 0:00,100,,
Peet's Coffee & Tea,370 04th St,San Francisco,CA,94107,8/11/16 0:00,,,
Nook,1500 Hyde St,San Francisco,CA,94109,7/27/16 0:00,83,Permit license or inspection report not posted,Low Risk
SF Wraps,255 Kearny st.,San Francisco,CA,94108,3/3/16 0:00,94,Foods not protected from contamination,Moderate Risk
Zaytoon,1136 Valencia St,San Francisco,CA,94110,8/2/16 0:00,90,Food safety certificate or food handler card not available,Low Risk
The Salvation Army,240 Turk St,San Francisco,CA,94102,9/7/16 0:00,,,
Auntie Anne's Pretzels,845 Market St Space 201,San Francisco,CA,94103,7/5/16 0:00,96,Unclean nonfood contact surfaces,Low Risk
Lee's Deli,550 California St,San Francisco,CA,94104,6/7/16 0:00,92,Employee eating or smoking,Moderate Risk
Nick's Crispy Tacos,1500 Broadway St,San Francisco,CA,94109,9/30/16 0:00,69,High risk vermin infestation,High Risk
Natural Sensations,1650 HOLLOWAY St #134,San Francisco,CA,94132,5/9/16 0:00,96,Moderate risk food holding temperature,Moderate Risk
Vicoletto,550 Green St,San Francisco,CA,94133,6/2/16 0:00,89,Permit license or inspection report not posted,Low Risk
Hollow,1435 Irving St,San Francisco,CA,94122,6/23/16 0:00,100,,
First Cake,5901 GEARY Blvd,San Francisco,CA,94121,4/13/16 0:00,,,
"Wing On Poultry, Inc",1114  Ave,San Francisco,CA,94133,5/17/16 0:00,92,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
Boccalone,1 Ferry Building  #21,San Francisco,CA,94111,3/30/16 0:00,100,,
6001 California Market,6001 California St,San Francisco,CA,94121,5/24/16 0:00,82,Unclean or degraded floors walls or ceilings,Low Risk
Java Beach at the Zoo,2650 SLOAT Blvd,San Francisco,CA,94116,6/20/16 0:00,94,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
Epicenter Cafe LLC,764 Harrison St,San Francisco,CA,94107,5/18/16 0:00,89,Unclean hands or improper use of gloves,High Risk
La Mar Cebicheria Peruana,Pier 1.5,San Francisco,CA,94111,3/10/16 0:00,,High risk food holding temperature,High Risk
Pizza Zone & Grill,178 Valencia St,San Francisco,CA,94102,11/18/16 0:00,88,Moderate risk food holding temperature,Moderate Risk
Schmidt's Deli,2400 FOLSOM St,San Francisco,CA,94110,4/20/16 0:00,93,Improper cooling methods,High Risk
Island Market & Deli,2 Ave of the Palms  Bldg. 146,San Francisco,CA,94130,12/14/16 0:00,87,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
San Pancho's Tacos,491 Bayshore St,San Francisco,CA,,1/22/16 0:00,,,
Hillstone Restaurant,1800 Montgomery St,San Francisco,CA,94111,5/17/16 0:00,90,Moderate risk food holding temperature,Moderate Risk
Hotel Drisco,2901 Pacific Ave,San Francisco,CA,94115,2/19/16 0:00,94,No thermometers or uncalibrated thermometers,Low Risk
Specialty's Cafe & Bakery,1 Post St Street Level,San Francisco,CA,94104,4/21/16 0:00,94,Improper storage of equipment utensils or linens,Low Risk
Ilobasco Restaurant & Pupuseria,2680 San Bruno Ave,San Francisco,CA,94134,8/12/16 0:00,80,Unapproved or unmaintained equipment or utensils,Low Risk
Wines of California Wine Bar,Pier 39  Space N-111,San Francisco,CA,94133,4/5/16 0:00,,,
Good To Go,750 Font Blvd Bldg. A,San Francisco,CA,94132,5/11/16 0:00,,,
Hong Kong Bakery,4711 MISSION St,San Francisco,CA,94112,9/15/16 0:00,,,
Amber India Corporation,25 Yerba Buena Ln,San Francisco,CA,94103,8/25/16 0:00,,,
Carlin's Corner,298 Valencia St,San Francisco,CA,94103,2/17/16 0:00,88,Inadequate and inaccessible handwashing facilities,Moderate Risk
Mi Ranchito Produce,2169 Mission St,San Francisco,CA,94110,12/5/16 0:00,,,
Dynamo,2760 24th St,San Francisco,CA,94110,1/13/16 0:00,100,,
Andrea's Bakery,4511 Mission St,San Francisco,CA,94112,10/7/16 0:00,,,
Holiday Inn (Restaurant & Bar),50 08th St,San Francisco,CA,94103,6/10/16 0:00,,,
Yum Yum Hunan,1828 DIVISADERO St,San Francisco,CA,94115,4/18/16 0:00,81,Foods not protected from contamination,Moderate Risk
My Corner Cafe Inc,1500 South Van Ness Ave,San Francisco,CA,94110,7/6/16 0:00,86,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
Kissa Ko,1581 Webster St #195,San Francisco,CA,94115,5/12/16 0:00,94,Moderate risk food holding temperature,Moderate Risk
Zare At Fly Trap,606 FOLSOM St,San Francisco,CA,94107,8/19/16 0:00,87,Moderate risk vermin infestation,Moderate Risk
Sweet Passion Bakery,3020 TARAVAL St,San Francisco,CA,94116,7/6/16 0:00,,,
Portico IV,550 Market St,San Francisco,CA,94104,5/12/16 0:00,85,Unclean or degraded floors walls or ceilings,Low Risk
Discount Center,1200 VALENCIA St,San Francisco,CA,94110,10/27/16 0:00,98,Unclean unmaintained or improperly constructed toilet facilities,Low Risk
Tropisueno,75 Yerba Buena Ln,San Francisco,CA,94103,9/13/16 0:00,,,
Punjab Restaurant,2838 24th St,San Francisco,CA,94110,3/21/16 0:00,84,Unclean nonfood contact surfaces,Low Risk
Milan,606 Geary St,San Francisco,CA,94102,4/5/16 0:00,98,Unclean or degraded floors walls or ceilings,Low Risk
Little Caesars Pizza,955 Geneva Ave,San Francisco,CA,94112,8/9/16 0:00,98,Improper storage of equipment utensils or linens,Low Risk
Pizzeria Delfina,2406 CALIFORNIA St,San Francisco,CA,94115,7/22/16 0:00,96,Moderate risk food holding temperature,Moderate Risk
K's Kitchen,757 Monterey Blvd,San Francisco,CA,94127,5/18/16 0:00,90,Improper storage of equipment utensils or linens,Low Risk
PPQ Beef Noodle House,1816 IRVING St,San Francisco,CA,94122,9/7/16 0:00,,,
Contigo,1320 Castro St,San Francisco,CA,94114,6/1/16 0:00,94,Improper or defective plumbing,Low Risk
Benjarong Thai Cuisine,1968 Lombard St,San Francisco,CA,94123,9/15/16 0:00,88,Moderate risk food holding temperature,Moderate Risk
Regency Club 18th Floor,5 Embarcadero Center  18th Floor,San Francisco,CA,94111,6/3/16 0:00,100,,
Lucky's #756,1750 FULTON St,San Francisco,CA,94117,1/5/16 0:00,,,
Jelly Donut,3198 24th St,San Francisco,CA,94110,1/14/16 0:00,88,Improper food storage,Low Risk
Peet's Coffee & Tea,450 Sansome St Suite #1,San Francisco,CA,94111,3/15/16 0:00,100,,
Moki's Sushi and Pacific Grill,615 CORTLAND AVENUE,San Francisco,CA,94110,6/29/16 0:00,94,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
Specialty's Cafe & Bakery,369 Pine St,San Francisco,CA,94104,6/23/16 0:00,86,Foods not protected from contamination,Moderate Risk
Specialty's Cafe & Bakery,"1 Post St, Lower Level",San Francisco,CA,94104,4/20/16 0:00,92,Permit license or inspection report not posted,Low Risk
Specialty's Cafe & Bakery,505 Sansome St,San Francisco,CA,94111,3/18/16 0:00,,Inadequate and inaccessible handwashing facilities,Moderate Risk
Specialty's Cafe & Bakery,150 SPEAR St,San Francisco,CA,94105,2/19/16 0:00,,,
Specialty's Cafe & Bakery,101 New Montgomery St,San Francisco,CA,94105,8/12/16 0:00,85,Food safety certificate or food handler card not available,Low Risk
The Aventine,582 Washington St,San Francisco,CA,94111,2/12/16 0:00,,Unclean or degraded floors walls or ceilings,Low Risk
Green Papaya Restaurant,825 MISSION St,San Francisco,CA,94103,6/27/16 0:00,90,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
Brothers Restaurant,4128 GEARY Blvd,San Francisco,CA,94118,7/18/16 0:00,79,Moderate risk vermin infestation,Moderate Risk
Crave,2164 Polk St,San Francisco,CA,94109,4/7/16 0:00,79,Unclean hands or improper use of gloves,High Risk
Rin's,4301 24th St,San Francisco,CA,94114,5/13/16 0:00,92,Improper thawing methods,Moderate Risk
Urban Picnic,125 Kearny St,San Francisco,CA,94108,2/24/16 0:00,,,
Warfield Theatre/F & B Associates,982 Market St,San Francisco,CA,94102,11/22/16 0:00,,,
New Regent Cafe,638 Pacific Ave,San Francisco,CA,94133,10/4/16 0:00,,,
Baby Blues BBQ San Francisco Inc,3149 Mission St,San Francisco,CA,94110,4/13/16 0:00,91,Improper reheating of food,High Risk
Uncle Boy's,245 Balboa St,San Francisco,CA,94118,10/5/16 0:00,100,,
"Rodger's Coffee & Tea, LLC",3520 20th St,San Francisco,CA,94110,3/30/16 0:00,96,Inadequate warewashing facilities or equipment,Low Risk
El Tonayense #3,1700 Jerrold Ave,San Francisco,CA,94124,5/28/16 0:00,85,Unclean or degraded floors walls or ceilings,Low Risk
Mateo's Bay Area Hot Dogs,833 Bryant St,San Francisco,CA,,3/11/16 0:00,,,
Ghirardelli Chocolate,24 Willie Mays Plaza,San Francisco,CA,,8/14/16 0:00,96,,
Macy's West - Starbucks Coffee Company,251 Geary St 4th Floor,San Francisco,CA,94102,4/8/16 0:00,94,Unapproved or unmaintained equipment or utensils,Low Risk
Domo,511 Laguna St,San Francisco,CA,94102,6/22/16 0:00,92,Improper thawing methods,Moderate Risk
Loving Cup,2356 Polk St,San Francisco,CA,94109,5/14/16 0:00,87,Foods not protected from contamination,Moderate Risk
Balboa Teriyaki,3536 BALBOA St,San Francisco,CA,94121,10/4/16 0:00,,,
Pita's Cafe,1380 Sutter St,San Francisco,CA,94109,5/5/16 0:00,,,
Peet's Coffee & Tea,1400 Van Ness Ave,San Francisco,CA,94109,8/2/16 0:00,,,
Peet's Coffee & Tea,595 Market St  Suite #143,San Francisco,CA,94105,9/6/16 0:00,96,Inadequate and inaccessible handwashing facilities,Moderate Risk
Pizzelle Di North Beach,314 Columbus Ave,San Francisco,CA,94133,5/18/16 0:00,86,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
Volcano Kitchen,5454 GEARY Blvd,San Francisco,CA,94121,6/23/16 0:00,83,Foods not protected from contamination,Moderate Risk
Zapata Mexican Grill,4150 18th St,San Francisco,CA,94114,7/22/16 0:00,100,,
Duc Loi Supermarket,2200 MISSION St,San Francisco,CA,94110,12/7/16 0:00,,,
Cherry Blossom Bakery,844 Clement St,San Francisco,CA,94118,7/28/16 0:00,83,High risk food holding temperature,High Risk
RN74,301 Mission St,San Francisco,CA,94105,10/11/16 0:00,,,
Eastside West,3154 FILLMORE St,San Francisco,CA,94123,10/6/16 0:00,96,Noncompliance with HAACP plan or variance,Moderate Risk
Trader Joe's #236,265 Winston Dr,San Francisco,CA,94132,7/7/16 0:00,90,Moderate risk food holding temperature,Moderate Risk
Skool,1725 Alameda St,San Francisco,CA,94103,11/2/16 0:00,96,Moderate risk food holding temperature,Moderate Risk
Henry's Hunan Restaurant,1708 CHURCH St,San Francisco,CA,94131,9/29/16 0:00,94,Moderate risk food holding temperature,Moderate Risk
Sodexo at Academy of Art University,620 Sutter St  2nd Floor,San Francisco,CA,94102,11/28/16 0:00,96,Permit license or inspection report not posted,Low Risk
Chantal Guillon,437 A Hayes St,San Francisco,CA,94102,9/26/16 0:00,86,Improper or defective plumbing,Low Risk
23rd & Guerrero Market & Deli,3558 23rd St,San Francisco,CA,94110,5/10/16 0:00,98,Unclean unmaintained or improperly constructed toilet facilities,Low Risk
Godiva Chocolatier at Macys,170 O'Farrell St,San Francisco,CA,94102,12/8/16 0:00,,,
Saffron Grill,1279 Fulton st,San Francisco,CA,94117,5/11/16 0:00,90,Moderate risk vermin infestation,Moderate Risk
Humphrey Slocombe Ice Cream,2790 A Harrison St,San Francisco,CA,94110,10/24/16 0:00,96,Low risk vermin infestation,Low Risk
Cafe Zazo,64 14th St,San Francisco,CA,94103,7/26/16 0:00,94,Unclean or degraded floors walls or ceilings,Low Risk
5A5 Steak Lounge,244 Jackson St,San Francisco,CA,94111,7/12/16 0:00,91,Improper cooling methods,High Risk
Waffle Mania LLC,1 United Nations Plaza,San Francisco,CA,94102,12/21/16 0:00,93,No hot water or running water,High Risk
Borderlands Cafe,870 Valencia St,San Francisco,CA,94110,1/20/16 0:00,100,,
Kuishinbo,22 Peace Plaza #535,San Francisco,CA,94115,9/14/16 0:00,83,High risk food holding temperature,High Risk
Pizzetta 211,211 23rd Ave,San Francisco,CA,94121,5/2/16 0:00,88,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
Tsunami Mission Bay,301 King St,San Francisco,CA,94107,11/10/16 0:00,,,
Cafe Prague,424 Merchant St,San Francisco,CA,94111,12/6/16 0:00,68,Unclean or unsanitary food contact surfaces,High Risk
Bei Jing Restaurant,1801 Alemany Blvd,San Francisco,CA,94112,6/13/16 0:00,,,
Sushi Club,71 05th St,San Francisco,CA,94103,4/18/16 0:00,77,Improper storage of equipment utensils or linens,Low Risk
Gemini - San Francisco Bay Concessionaires,Pier 41,San Francisco,CA,94133,10/27/16 0:00,98,Improper storage use or identification of toxic substances,Low Risk
Fraternite Notre Dame,54 Turk St,San Francisco,CA,94102,8/26/16 0:00,,,
Ritz Carlton Club & Residences,690 Market St,San Francisco,CA,94104,3/25/16 0:00,91,Unclean or degraded floors walls or ceilings,Low Risk
Cafe Enchante,6157 GEARY Blvd,San Francisco,CA,94121,11/16/16 0:00,98,Unapproved or unmaintained equipment or utensils,Low Risk
The Dry Dock,2118 Greenwich St,San Francisco,CA,94123,9/14/16 0:00,96,Improper storage use or identification of toxic substances,Low Risk
Tacos San Buena #2,79 Sansome St,San Francisco,CA,,5/28/16 0:00,,,
China Fun Express,211 Kearny St,San Francisco,CA,94108,3/11/16 0:00,,,
Internos Wine Cafe,3240 Geary Blvd,San Francisco,CA,94118,4/14/16 0:00,100,,
Mercury Cafe,201 Octavia St,San Francisco,CA,94102,4/5/16 0:00,92,Low risk vermin infestation,Low Risk
Events Management @ Legion of Honor,100 34th Ave,San Francisco,CA,94121,3/11/16 0:00,74,Moderate risk vermin infestation,Moderate Risk
"Queen's Louisiana Po-Boy Cafe, LLC",3030 San Bruno Ave,San Francisco,CA,94134,7/19/16 0:00,90,Moderate risk food holding temperature,Moderate Risk
Haus Coffee,3086 24th St,San Francisco,CA,94110,4/18/16 0:00,88,Unclean or degraded floors walls or ceilings,Low Risk
Than Tam II,577 Valencia St.,San Francisco,CA,94103,10/11/16 0:00,,Improper thawing methods,Moderate Risk
Events Management @ de Young Museum,50 So Tea Garden Dr,San Francisco,CA,94118,9/1/16 0:00,96,Moderate risk food holding temperature,Moderate Risk
North Beach Pizza,1462 Grant Ave,San Francisco,CA,94133,10/7/16 0:00,,,
Players,Pier 39  Space L-11,San Francisco,CA,94133,4/13/16 0:00,87,Improper food storage,Low Risk
St. Anthony Foundation,150 Golden Gate Ave,San Francisco,CA,94102,3/24/16 0:00,,,
54 Mint Wine Bar,16 Mint Plaza,San Francisco,CA,94103,7/18/16 0:00,92,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
New Luen Sing Fish Market,1207 Stockton St,San Francisco,CA,94133,4/12/16 0:00,71,Inadequate or unsanitary refuse containers or area or no garbage service,Low Risk
Canon Kip Community House Senior Center,705 Natoma St,San Francisco,CA,,7/21/16 0:00,,Unclean nonfood contact surfaces,Low Risk
Fishbowl,1854 DIVISADERO St,San Francisco,CA,94115,7/13/16 0:00,90,Moderate risk vermin infestation,Moderate Risk
Escape From New York Pizza,1737 Haight St,San Francisco,CA,94117,7/15/16 0:00,100,,
Catering For Two Or More,5051 MISSION STREET,San Francisco,CA,94110,6/21/16 0:00,87,Foods not protected from contamination,Moderate Risk
Woerner's Liquor,901 Geary St,San Francisco,CA,94109,9/6/16 0:00,79,Permit license or inspection report not posted,Low Risk
The Tipsy Pig,2231 CHESTNUT St,San Francisco,CA,94123,3/30/16 0:00,92,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
Tony's Pizza,1570 Stockton St,San Francisco,CA,94133,6/15/16 0:00,86,Improper thawing methods,Moderate Risk
Naples Pizzarella,1192 GENEVA Ave,San Francisco,CA,94112,8/30/16 0:00,,,
The Butler & The Chef Bistro,155A SOUTH PARK St,San Francisco,CA,94107,8/24/16 0:00,94,Unclean or degraded floors walls or ceilings,Low Risk
Yummy Bakery & Restaurant,607 Jackson St,San Francisco,CA,94133,6/28/16 0:00,,,
Woodhouse Fish Co.,1914 FILLMORE St,San Francisco,CA,94116,9/26/16 0:00,92,Moderate risk vermin infestation,Moderate Risk
Mission Martco,5098 MISSION St,San Francisco,CA,94112,7/20/16 0:00,98,No thermometers or uncalibrated thermometers,Low Risk
Subway #43108,4841 Mission St,San Francisco,CA,94112,7/22/16 0:00,98,Unclean or degraded floors walls or ceilings,Low Risk
Sushi Umi,132 Bush St,San Francisco,CA,94104,6/8/16 0:00,,,
Nina's Cafe,201 Fell St,San Francisco,CA,94102,5/20/16 0:00,94,Insufficient hot water or running water,Moderate Risk
Taqueria Cazadores,1600 C Mission St,San Francisco,CA,94110,9/8/16 0:00,,,
San Francisco Soup Company,580 California St,San Francisco,CA,94104,6/7/16 0:00,83,Improper food labeling or menu misrepresentation,Low Risk
RUSSIAN DELI,4605 GEARY Blvd,San Francisco,CA,94118,4/26/16 0:00,,,
Union Square Sports Bar,115 Mason St,San Francisco,CA,94102,10/20/16 0:00,77,Improper food storage,Low Risk
Little Delhi India Restaurant,83 Eddy St,San Francisco,CA,94102,11/18/16 0:00,,,
Enjoy Vegetarian Restaurant #2,839 Kearny St,San Francisco,CA,94108,5/24/16 0:00,93,Improper cooling methods,High Risk
Golden Gate Dim Sum Seafood,1829 Clement St,San Francisco,CA,94121,7/1/16 0:00,,,
The Lunch Box,50 Phelan Ave.,San Francisco,CA,94112,5/19/16 0:00,,,
Escape from New York Pizza,3242 22nd St,San Francisco,CA,94110,10/19/16 0:00,100,,
Basa Seafood Express,3064 24th St,San Francisco,CA,94110,1/14/16 0:00,90,Unapproved or unmaintained equipment or utensils,Low Risk
Parkside Quickly,1050 TARAVAL St,San Francisco,CA,94116,3/28/16 0:00,86,Unclean or degraded floors walls or ceilings,Low Risk
Aveline / The European,490 Geary St,San Francisco,CA,94102,11/22/16 0:00,87,Unclean or unsanitary food contact surfaces,High Risk
Beckmann's Old World Bakery Ltd,1322 Grove St,San Francisco,CA,94117,7/3/16 0:00,100,,
Fancy Wheatfield Bakery Inc.,2668 San Bruno Ave,San Francisco,CA,94134,10/11/16 0:00,90,Unclean or degraded floors walls or ceilings,Low Risk
Yummy BBQ Kitchen,683 Broadway St,San Francisco,CA,94133,10/19/16 0:00,,,
Pan Lido Salvadoreno,3147 22nd St,San Francisco,CA,94110,9/9/16 0:00,98,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
Pasta Moto of San Francisco Centre LLC,845 Market St FE6,San Francisco,CA,94103,5/2/16 0:00,72,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
Bite,912 Sutter St,San Francisco,CA,94109,11/21/16 0:00,94,Inadequate warewashing facilities or equipment,Low Risk
Flour & Water,2401 Harrison St,San Francisco,CA,94110,3/24/16 0:00,96,Inadequate ventilation or lighting,Low Risk
McGarden Bakery,5131 Mission St,San Francisco,CA,94112,12/7/16 0:00,,,
Bouche,603 Bush St,San Francisco,CA,94108,8/26/16 0:00,91,Unapproved or unmaintained equipment or utensils,Low Risk
City Beer Store,1168 Folsom St 101,San Francisco,CA,94103,8/22/16 0:00,94,Food safety certificate or food handler card not available,Low Risk
Luigi's Pizzeria,Pier 39  Space 211-212,San Francisco,CA,94133,8/12/16 0:00,,,
Clift Hotel - Banquet Kitchen,495 Geary St Mezzanine,San Francisco,CA,94102,2/16/16 0:00,100,,
Holy Gelato,1392 09th Ave,San Francisco,CA,94122,8/16/16 0:00,96,Inadequate and inaccessible handwashing facilities,Moderate Risk
Swank Cocktail Club,488 PRESIDIO Ave,San Francisco,CA,94115,9/7/16 0:00,,,
Tip Top Market,84 Turk St,San Francisco,CA,94102,12/22/16 0:00,86,Improper food storage,Low Risk
OTD,2232 Bush St,San Francisco,CA,94115,5/31/16 0:00,92,Foods not protected from contamination,Moderate Risk
