business_name,business_address,business_city,business_state,business_postal_code,inspection_date,inspection_score,violation_description,risk_category
A-1 BAKERY,1727 OCEAN Ave,San Francisco,CA,94112,5/25/16 0:00,88,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
CALIFORNIA TENNIS CLUB,2455 BUSH St,San Francisco,CA,94115,9/21/16 0:00,90,Improper storage of equipment utensils or linens,Low Risk
EL BURRITO EXPRESS #2,1812 DIVISADERO St,San Francisco,CA,94115,4/18/16 0:00,82,Unclean or degraded floors walls or ceilings,Low Risk
SUBWAY SANDWICHES & SALADS,1500 FILLMORE St,San Francisco,CA,94115,9/30/16 0:00,98,Unclean or degraded floors walls or ceilings,Low Risk
Swan Oyster Depot,1517 Polk St,San Francisco,CA,94109,9/13/16 0:00,94,Low risk vermin infestation,Low Risk
ANDERSEN BAKERY,1737 POST St,San Francisco,CA,94115,6/17/16 0:00,94,Inadequate and inaccessible handwashing facilities,Moderate Risk
Golden Coffee,901 Sutter St,San Francisco,CA,94109,4/29/16 0:00,88,No thermometers or uncalibrated thermometers,Low Risk
BRAZEN HEAD RESTAURANT,3166 Buchanan St,San Francisco,CA,94123,10/5/16 0:00,83,Moderate risk vermin infestation,Moderate Risk
VIKINGS GIANT SUBMARINE SANDWICHES,1418 LOMBARD St,San Francisco,CA,94123,9/14/16 0:00,86,Improper thawing methods,Moderate Risk
MARINA SUBMARINE,2299 UNION St,San Francisco,CA,94123,9/19/16 0:00,90,Moderate risk food holding temperature,Moderate Risk
BARBARY COAST PASTRY & COFFEE,55 Cyril Magnin St,San Francisco,CA,94102,9/30/16 0:00,94,Moderate risk food holding temperature,Moderate Risk
THEM KY RESTAURANT,717 ELLIS St,San Francisco,CA,94109,6/30/16 0:00,,,
BEN WAH RESTAURANT,2786 CALIFORNIA St,San Francisco,CA,94115,2/17/16 0:00,75,Unclean or unsanitary food contact surfaces,High Risk
MOZZARELLA DI BUFALA PIZZERIA II,069 WEST PORTAL Ave,San Francisco,CA,94127,6/10/16 0:00,83,Unapproved or unmaintained equipment or utensils,Low Risk
Cafe Bellini,865 MARKET St C45,San Francisco,CA,94103,6/24/16 0:00,90,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
BAKERY/ICE CREAM/STOREROOM,2 New Montgomery St,San Francisco,CA,94105,8/9/16 0:00,94,Inadequate warewashing facilities or equipment,Low Risk
APERTO RESTAURANT,1434 18th St,San Francisco,CA,94107,4/15/16 0:00,,,
MARIPOSA HUNTERS POINT YACHT CLUB,405 TERRY FRANCOIS Blvd,San Francisco,CA,94107,12/5/16 0:00,96,Unapproved or unmaintained equipment or utensils,Low Risk
BAY VIEW BOAT CLUB,429 Terry Francois St,San Francisco,CA,94107,12/5/16 0:00,90,Food safety certificate or food handler card not available,Low Risk
Piperade,1015 Battery St,San Francisco,CA,94111,8/22/16 0:00,80,High risk food holding temperature,High Risk
Boudin Bakery,Pier 39  Front,San Francisco,CA,94133,4/14/16 0:00,94,Moderate risk food holding temperature,Moderate Risk
Ben & Jerry's,Pier 41,San Francisco,CA,94133,6/7/16 0:00,96,Unclean nonfood contact surfaces,Low Risk
Hunan Restaurant,924 Sansome St,San Francisco,CA,94111,5/23/16 0:00,79,Moderate risk food holding temperature,Moderate Risk
Sushi Rapture,1400 Leavenworth St,San Francisco,CA,94109,5/12/16 0:00,90,Moderate risk vermin infestation,Moderate Risk
Courtyard by Marriott at Fisherman's Wharf,580 Beach St,San Francisco,CA,94133,6/8/16 0:00,92,Improper food storage,Low Risk
LA SANTANECA,3781 MISSION St,San Francisco,CA,94110,6/6/16 0:00,85,Unclean or degraded floors walls or ceilings,Low Risk
BABY'S EATERY AND PALABOK,4609 MISSION St,San Francisco,CA,94112,11/10/16 0:00,,,
ANGELINA'S DELI-CAFE & CATERING,6000 CALIFORNIA St,San Francisco,CA,94121,6/9/16 0:00,,,
TAQUERIA EL FAROLITO NO. 2,4817 MISSION St,San Francisco,CA,94112,6/20/16 0:00,84,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
LOS PLANES DE RENDEROS,12 Persia Ave,San Francisco,CA,94112,7/28/16 0:00,82,Unclean hands or improper use of gloves,High Risk
Kam Po Kitchen,801 Broadway St,San Francisco,CA,94133,6/13/16 0:00,81,Unclean nonfood contact surfaces,Low Risk
Estia Restaurant,1224 Grant Ave,San Francisco,CA,94133,10/17/16 0:00,86,Unclean or degraded floors walls or ceilings,Low Risk
Cafe Jacqueline,1454 Grant Ave,San Francisco,CA,94133,7/29/16 0:00,94,Moderate risk vermin infestation,Moderate Risk
Golden Boy Pizza,542 Green St,San Francisco,CA,94133,5/17/16 0:00,87,Improper food storage,Low Risk
New Hollywood Bakery & Restaurant,652 Pacific Ave,San Francisco,CA,94133,9/6/16 0:00,,,
Firenze By Night,1421 Stockton St,San Francisco,CA,94133,6/14/16 0:00,82,Improper storage use or identification of toxic substances,Low Risk
DELFINA RESTAURANT,3621 18th St,San Francisco,CA,94110,7/7/16 0:00,94,Unclean nonfood contact surfaces,Low Risk
Pancho's Salsa Bar & Grill,1639 Polk St,San Francisco,CA,94109,10/12/16 0:00,94,Moderate risk food holding temperature,Moderate Risk
"PATPONG THAI CUISINE, INC.",2415 CLEMENT St,San Francisco,CA,94121,6/10/16 0:00,,,
Delicious Dim Sum,752 Jackson St,San Francisco,CA,94133,4/26/16 0:00,61,Improper thawing methods,Moderate Risk
House of Nanking,919 Kearny St,San Francisco,CA,94133,3/9/16 0:00,86,Moderate risk food holding temperature,Moderate Risk
Le Petit Cafe,1 Maritime Plaza,San Francisco,CA,94111,12/28/16 0:00,96,Food safety certificate or food handler card not available,Low Risk
Lucky Creation Vegetarian Restaurant LLC,854 Washington St,San Francisco,CA,94108,10/24/16 0:00,92,Moderate risk food holding temperature,Moderate Risk
Happy Donuts,100 Bush St #101,San Francisco,CA,94104,5/20/16 0:00,,,
Sabra Restaurant,419 Grant Ave,San Francisco,CA,94108,6/30/16 0:00,90,Improper thawing methods,Moderate Risk
Working Girls' Cafe',0259 Kearny St,San Francisco,CA,94108,9/21/16 0:00,,Other low risk violation,Low Risk
Town & Country Club,218 Stockton St,San Francisco,CA,94108,9/2/16 0:00,96,Moderate risk food holding temperature,Moderate Risk
"Ritz-Carlton, SF -  P-37 Restaurant and Bar",600 Stockton St 4th Floor,San Francisco,CA,94108,3/30/16 0:00,92,Improper food storage,Low Risk
Ritz-Carlton SF - Club Lounge,600 Stockton St 8th Floor,San Francisco,CA,94108,3/30/16 0:00,100,,
